"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H01,H01,H01,H01,H00,H01,H02,H03";"MountingHole_3.2mm_M3";8;"MountingHole";;;
2;"RS44,RS40,RS41,RS42,RS43,RS45,RS46,RL40,RL41,RL42,RL43,RL44,RL45,RL46,R02,R03,R06";"R_0603_1608Metric";17;"1K";;;
3;"SW46,SW41,SW40,SW42,SW43,SW44,SW45";"MICRO_SW_LED";7;"SWITCH_LED";;;
4;"J00";"CUI_USB-C_UJ31-CH-3-MSMT-TR-67";1;"USB_C_Receptacle";;;
5;"SW10,SW11";"SW_SPST_4x3";2;"NO";;;
6;"C30";"C_0603_1608Metric";1;"470pF";;;
7;"C21";"C_0603_1608Metric";1;"1uF";;;
8;"C20";"C_0603_1608Metric";1;"0.47uF";;;
9;"U40";"ESP32-WROOM-32";1;"ESP32-WROOM";;;
10;"C40,C44,C42,C46,C45,C43,C41";"C_0603_1608Metric";7;"10nF";;;
11;"C10,C11,C12,C50";"C_0603_1608Metric";4;"100nF";;;
12;"Q10,Q11";"SOT-23";2;"MMBT3904";;;
13;"R10,R11,R04,R05,R20,R21";"R_0603_1608Metric";6;"10K";;;
14;"U10";"SSOP-20_3.9x8.7mm_P0.635mm";1;"FT231XS";;;
15;"D10";"SOT-23";1;"SM05.TCT";;;
16;"TP03";"TEST_PAD_HOLE_1mm";1;"GND";;;
17;"G***";"TUDelft_15x5.9";1;"LOGO";;;
18;"G***";"idStudiolab_6.9x13";1;"LOGO";;;
19;"C00,C01,C02";"C_0805_2012Metric";3;"10uF";;;
20;"R00";"R_0603_1608Metric";1;"1K1";;;
21;"R01";"R_0603_1608Metric";1;"590R";;;
22;"R40,R41";"R_0603_1608Metric";2;"4K7";;;
23;"TH00";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"10K";;;
24;"U00";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24075RGT";;;
25;"U20";"Texas_S-PDSO-N12";1;"BQ27441-G1";;;
26;"U30";"SOT-23-5";1;"MIC5219-3.3YM5";;;
27;"C31";"CP_EIA-3216-10_Kemet-I";1;"2.2uF";;;
28;"R22";"C_1206_3216Metric";1;"0.01R";;;
29;"SW00";"C&K-OS102011MS2QN1_side_mount";1;"SWITCH_SPDT";;;
30;"JP00,JP01";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Open";;;
31;"TP00";"TEST_PAD_HOLE_1mm";1;"VBUS";;;
32;"TP01";"TEST_PAD_HOLE_1mm";1;"VOUT";;;
33;"TP20";"TEST_PAD_HOLE_1mm";1;"VBAT";;;
34;"TP30";"TEST_PAD_HOLE_1mm";1;"3V3";;;
35;"J20";"JST_B2B-PH-K-S_SUNK";1;"BATT1";;;
36;"D00";"SMD_RGB_SIDE-APFA3010LSEEZGKQBKC";1;"LED_RAGB";;;
37;"U50";"SHT21";1;"SHT21";;;
